sample	date	origin_O2	O2	week	replicate	type
mg1L_4	May-27-2014	low	low	4	1	Metagenome
mt1L_4	May-27-2014	low	low	4	1	Metatranscriptome
mg2L_4	May-27-2014	low	low	4	2	Metagenome
mt2L_4	May-27-2014	low	low	4	2	Metatranscriptome
mg3L_4	May-27-2014	low	low	4	3	Metagenome
mt3L_4	May-27-2014	low	low	4	3	Metatranscriptome
mg4L_4	May-27-2014	low	low	4	4	Metagenome
mt4L_4	May-27-2014	low	low	4	4	Metatranscriptome
mg5L_4	May-27-2014	low	low	4	5	Metagenome
mt5L_4	May-27-2014	low	low	4	5	Metatranscriptome
mg6L_4	May-27-2014	low	low	4	6	Metagenome
mt6L_4	May-27-2014	low	low	4	6	Metatranscriptome
mg7H_4	May-27-2014	high	high	4	1	Metagenome
mt7H_4	May-27-2014	high	high	4	1	Metatranscriptome
mg8H_4	May-27-2014	high	high	4	2	Metagenome
mt8H_4	May-27-2014	high	high	4	2	Metatranscriptome
mg9H_4	May-27-2014	high	high	4	3	Metagenome
mt9H_4	May-27-2014	high	high	4	3	Metatranscriptome
mg10H_4	May-27-2014	high	high	4	4	Metagenome
mt10H_4	May-27-2014	high	high	4	4	Metatranscriptome
mg11H_4	May-27-2014	high	high	4	5	Metagenome
mt11H_4	May-27-2014	high	high	4	5	Metatranscriptome
mg12H_4	May-27-2014	high	high	4	6	Metagenome
mt12H_4	May-27-2014	high	high	4	6	Metatranscriptome
mg13L_5	June-3-2014	low	low	5	1	Metagenome
mt13L_5	June-3-2014	low	low	5	1	Metatranscriptome
mg14L_5	June-3-2014	low	low	5	2	Metagenome
mt14L_5	June-3-2014	low	low	5	2	Metatranscriptome
mg15L_5	June-3-2014	low	low	5	3	Metagenome
mt15L_5	June-3-2014	low	low	5	3	Metatranscriptome
mg16L_5	June-3-2014	low	low	5	4	Metagenome
mt16L_5	June-3-2014	low	low	5	4	Metatranscriptome
mg17L_5	June-3-2014	low	low	5	5	Metagenome
mt17L_5	June-3-2014	low	low	5	5	Metatranscriptome
mg18L_5	June-3-2014	low	low	5	6	Metagenome
mt18L_5	June-3-2014	low	low	5	6	Metatranscriptome
mg19H_5	June-3-2014	high	high	5	1	Metagenome
mt19H_5	June-3-2014	high	high	5	1	Metatranscriptome
mg20H_5	June-3-2014	high	high	5	2	Metagenome
mt20H_5	June-3-2014	high	high	5	2	Metatranscriptome
